SAMPLE_ID	mutations
aml_ohsu_2022_2476_BA2102	WXS
aml_ohsu_2022_2476_BA2005	WXS
aml_ohsu_2022_2476_BA3074	WXS
aml_ohsu_2022_2476_BA2555	WXS
aml_ohsu_2022_2157_BA2452	WXS
aml_ohsu_2022_2053_BA2673	WXS
aml_ohsu_2022_2053_BA2803	WXS
aml_ohsu_2022_2295_BA2216	WXS
aml_ohsu_2022_2295_BA2859	WXS
aml_ohsu_2022_2030_BA2336	WXS
aml_ohsu_2022_2030_BA2708	WXS
aml_ohsu_2022_2551_BA2643	WXS
aml_ohsu_2022_2551_BA2265	WXS
aml_ohsu_2022_2551_BA2460	WXS
aml_ohsu_2022_2401_BA2067	WXS
aml_ohsu_2022_2302_BA2881	WXS
aml_ohsu_2022_2479_BA2012	WXS
aml_ohsu_2022_2479_BA2352	WXS
aml_ohsu_2022_2479_BA2630	WXS
aml_ohsu_2022_2451_BA2335	WXS
aml_ohsu_2022_2313_BA2707	WXS
aml_ohsu_2022_2380_BA2825	WXS
aml_ohsu_2022_2380_BA2435	WXS
aml_ohsu_2022_2164_BA2916	WXS
aml_ohsu_2022_2164_BA3035	WXS
aml_ohsu_2022_2207_BA3039	WXS
aml_ohsu_2022_2751_BA3172	WXS
aml_ohsu_2022_2374_BA3021	WXS
aml_ohsu_2022_2503_BA2136	WXS
aml_ohsu_2022_2059_BA2831	WXS
aml_ohsu_2022_2059_BA2847	WXS
aml_ohsu_2022_2059_BA2045	WXS
aml_ohsu_2022_2446_BA2236	WXS
aml_ohsu_2022_2799_BA3439	WXS
aml_ohsu_2022_2007_BA2918	WXS
aml_ohsu_2022_2580_BA3042	WXS
aml_ohsu_2022_2491_BA2003	WXS
aml_ohsu_2022_2384_BA2763	WXS
aml_ohsu_2022_2489_BA2488	WXS
aml_ohsu_2022_2606_BA3379	WXS
aml_ohsu_2022_2034_BA2712	WXS
aml_ohsu_2022_2087_BA2858	WXS
aml_ohsu_2022_2787_BA3354	WXS
aml_ohsu_2022_2762_BA3409	WXS
aml_ohsu_2022_2642_BA3097	WXS
aml_ohsu_2022_2710_BA3288	WXS
aml_ohsu_2022_2635_BA3387	WXS
aml_ohsu_2022_2821_BA3159	WXS
aml_ohsu_2022_2469_BA2068	WXS
aml_ohsu_2022_2378_BA2104	WXS
aml_ohsu_2022_2832_BA3124	WXS
aml_ohsu_2022_2828_BA3106	WXS
aml_ohsu_2022_2745_BA3259	WXS
aml_ohsu_2022_2466_BA2921	WXS
aml_ohsu_2022_2298_BA2360	WXS
aml_ohsu_2022_2005_BA2802	WXS
aml_ohsu_2022_2407_BA2235	WXS
aml_ohsu_2022_2278_BA3038	WXS
aml_ohsu_2022_2239_BA3006	WXS
aml_ohsu_2022_2173_BA2245	WXS
aml_ohsu_2022_2286_BA2667	WXS
aml_ohsu_2022_2326_BA2239	WXS
aml_ohsu_2022_2501_BA2359	WXS
aml_ohsu_2022_2235_BA2782	WXS
aml_ohsu_2022_2097_BA2649	WXS
aml_ohsu_2022_2125_BA2117	WXS
aml_ohsu_2022_2249_BA2257	WXS
aml_ohsu_2022_2070_BA2258	WXS
aml_ohsu_2022_2070_BA2592	WXS
aml_ohsu_2022_2015_BA2861	WXS
aml_ohsu_2022_2091_BA2684	WXS
aml_ohsu_2022_2417_BA2598	WXS
aml_ohsu_2022_2312_BA2337	WXS
aml_ohsu_2022_2509_BA2909	WXS
aml_ohsu_2022_2473_BA2429	WXS
aml_ohsu_2022_2191_BA2653	WXS
aml_ohsu_2022_2022_BA2032	WXS
aml_ohsu_2022_2220_BA2162	WXS
aml_ohsu_2022_2142_BA2991	WXS
aml_ohsu_2022_2339_BA2564	WXS
aml_ohsu_2022_2578_BA3043	WXS
aml_ohsu_2022_2290_BA2597	WXS
aml_ohsu_2022_2396_BA2315	WXS
aml_ohsu_2022_2682_BA3262	WXS
aml_ohsu_2022_2055_BA2106	WXS
aml_ohsu_2022_2559_BA2427	WXS
aml_ohsu_2022_2274_BA2841	WXS
aml_ohsu_2022_2429_BA2446	WXS
aml_ohsu_2022_2429_BA2025	WXS
aml_ohsu_2022_2579_BA3045	WXS
aml_ohsu_2022_2230_BA2645	WXS
aml_ohsu_2022_2543_BA2525	WXS
aml_ohsu_2022_2198_BA2542	WXS
aml_ohsu_2022_2198_BA2876	WXS
aml_ohsu_2022_2245_BA2357	WXS
aml_ohsu_2022_2245_BA2640	WXS
aml_ohsu_2022_2259_BA2546	WXS
aml_ohsu_2022_2403_BA2742	WXS
aml_ohsu_2022_2403_BA2316	WXS
aml_ohsu_2022_2071_BA2007	WXS
aml_ohsu_2022_2195_BA2421	WXS
aml_ohsu_2022_2188_BA2225	WXS
aml_ohsu_2022_2221_BA2087	WXS
aml_ohsu_2022_2261_BA2910	WXS
aml_ohsu_2022_2128_BA2148	WXS
aml_ohsu_2022_2186_BA2329	WXS
aml_ohsu_2022_2186_BA2677	WXS
aml_ohsu_2022_2789_BA3282	WXS
aml_ohsu_2022_2826_BA3093	WXS
aml_ohsu_2022_2256_BA2060	WXS
aml_ohsu_2022_2115_BA2072	WXS
aml_ohsu_2022_2079_BA3029	WXS
aml_ohsu_2022_2079_BA2735	WXS
aml_ohsu_2022_2408_BA2733	WXS
aml_ohsu_2022_2408_BA2193	WXS
aml_ohsu_2022_2281_BA2995	WXS
aml_ohsu_2022_2179_BA2069	WXS
aml_ohsu_2022_2485_BA2100	WXS
aml_ohsu_2022_2485_BA2953	WXS
aml_ohsu_2022_2288_BA2681	WXS
aml_ohsu_2022_2105_BA2248	WXS
aml_ohsu_2022_2504_BA2191	WXS
aml_ohsu_2022_2248_BA2308	WXS
aml_ohsu_2022_2419_BA2701	WXS
aml_ohsu_2022_2047_BA2634	WXS
aml_ohsu_2022_2272_BA2996	WXS
aml_ohsu_2022_2212_BA2937	WXS
aml_ohsu_2022_2254_BA2600	WXS
aml_ohsu_2022_2365_BA2019	WXS
aml_ohsu_2022_2260_BA2412	WXS
aml_ohsu_2022_2270_BA2334	WXS
aml_ohsu_2022_2109_BA2894	WXS
aml_ohsu_2022_2777_BA3230	WXS
aml_ohsu_2022_2229_BA2779	WXS
aml_ohsu_2022_2159_BA2481	WXS
aml_ohsu_2022_2036_BA2731	WXS
aml_ohsu_2022_2405_BA2418	WXS
aml_ohsu_2022_2359_BA2672	WXS
aml_ohsu_2022_2499_BA2294	WXS
aml_ohsu_2022_2012_BA2616	WXS
aml_ohsu_2022_2016_BA2816	WXS
aml_ohsu_2022_2539_BA2255	WXS
aml_ohsu_2022_2539_BA2814	WXS
aml_ohsu_2022_2369_BA2631	WXS
aml_ohsu_2022_2075_BA2023	WXS
aml_ohsu_2022_2330_BA2375	WXS
aml_ohsu_2022_2540_BA2254	WXS
aml_ohsu_2022_2373_BA2455	WXS
aml_ohsu_2022_2576_BA2636	WXS
aml_ohsu_2022_2492_BA2325	WXS
aml_ohsu_2022_2399_BA2169	WXS
aml_ohsu_2022_2399_BA2246	WXS
aml_ohsu_2022_2017_BA2156	WXS
aml_ohsu_2022_2567_BA2511	WXS
aml_ohsu_2022_2297_BA2168	WXS
aml_ohsu_2022_2023_BA2834	WXS
aml_ohsu_2022_2413_BA2860	WXS
aml_ohsu_2022_2273_BA2871	WXS
aml_ohsu_2022_2458_BA2655	WXS
aml_ohsu_2022_2045_BA2628	WXS
aml_ohsu_2022_2006_BA2665	WXS
aml_ohsu_2022_2345_BA2227	WXS
aml_ohsu_2022_2563_BA2812	WXS
aml_ohsu_2022_2562_BA2125	WXS
aml_ohsu_2022_2314_BA2603	WXS
aml_ohsu_2022_2300_BA2808	WXS
aml_ohsu_2022_2574_BA2282	WXS
aml_ohsu_2022_2067_BA2482	WXS
aml_ohsu_2022_2227_BA2822	WXS
aml_ohsu_2022_2581_BA3047	WXS
aml_ohsu_2022_2554_BA2594	WXS
aml_ohsu_2022_2205_BA2747	WXS
aml_ohsu_2022_2325_BA2864	WXS
aml_ohsu_2022_2231_BA2561	WXS
aml_ohsu_2022_2231_BA2977	WXS
aml_ohsu_2022_2331_BA2332	WXS
aml_ohsu_2022_2162_BA2567	WXS
aml_ohsu_2022_2561_BA2906	WXS
aml_ohsu_2022_2123_BA2956	WXS
aml_ohsu_2022_2204_BA2963	WXS
aml_ohsu_2022_2569_BA2768	WXS
aml_ohsu_2022_2029_BA2474	WXS
aml_ohsu_2022_2029_BA2065	WXS
aml_ohsu_2022_2512_BA2998	WXS
aml_ohsu_2022_2020_BA2006	WXS
aml_ohsu_2022_2027_BA2936	WXS
aml_ohsu_2022_2305_BA2110	WXS
aml_ohsu_2022_2560_BA2438	WXS
aml_ohsu_2022_2459_BA2071	WXS
aml_ohsu_2022_2317_BA2199	WXS
aml_ohsu_2022_2317_BA2915	WXS
aml_ohsu_2022_2348_BA2992	WXS
aml_ohsu_2022_2394_BA2220	WXS
aml_ohsu_2022_2394_BA2720	WXS
aml_ohsu_2022_2165_BA2063	WXS
aml_ohsu_2022_2165_BA3330	WXS
aml_ohsu_2022_2243_BA2759	WXS
aml_ohsu_2022_2474_BA2982	WXS
aml_ohsu_2022_2397_BA2772	WXS
aml_ohsu_2022_2252_BA2960	WXS
aml_ohsu_2022_2130_BA2935	WXS
aml_ohsu_2022_2447_BA2260	WXS
aml_ohsu_2022_2447_BA2787	WXS
aml_ohsu_2022_2042_BA2073	WXS
aml_ohsu_2022_2008_BA2676	WXS
aml_ohsu_2022_2279_BA2948	WXS
aml_ohsu_2022_2102_BA2498	WXS
aml_ohsu_2022_2082_BA2161	WXS
aml_ohsu_2022_2684_BA3296	WXS
aml_ohsu_2022_2134_BA2524	WXS
aml_ohsu_2022_2448_BA2811	WXS
aml_ohsu_2022_2176_BA2540	WXS
aml_ohsu_2022_2423_BA2358	WXS
aml_ohsu_2022_2490_BA2928	WXS
aml_ohsu_2022_2336_BA2302	WXS
aml_ohsu_2022_2336_BA2343	WXS
aml_ohsu_2022_2388_BA2147	WXS
aml_ohsu_2022_2166_BA2792	WXS
aml_ohsu_2022_2160_BA2651	WXS
aml_ohsu_2022_2148_BA2595	WXS
aml_ohsu_2022_2184_BA2619	WXS
aml_ohsu_2022_2457_BA3013	WXS
aml_ohsu_2022_2457_BA2278	WXS
aml_ohsu_2022_2416_BA2356	WXS
aml_ohsu_2022_2354_BA2018	WXS
aml_ohsu_2022_2354_BA2405	WXS
aml_ohsu_2022_2376_BA2856	WXS
aml_ohsu_2022_2352_BA2557	WXS
aml_ohsu_2022_2233_BA2781	WXS
aml_ohsu_2022_2406_BA2753	WXS
aml_ohsu_2022_2113_BA2699	WXS
aml_ohsu_2022_2385_BA2377	WXS
aml_ohsu_2022_2003_BA2499	WXS
aml_ohsu_2022_2118_BA2059	WXS
aml_ohsu_2022_2167_BA2016	WXS
aml_ohsu_2022_2089_BA2330	WXS
aml_ohsu_2022_2112_BA2350	WXS
aml_ohsu_2022_2149_BA3023	WXS
aml_ohsu_2022_2149_BA2074	WXS
aml_ohsu_2022_2452_BA3026	WXS
aml_ohsu_2022_2199_BA2275	WXS
aml_ohsu_2022_2529_BA2901	WXS
aml_ohsu_2022_2529_BA2221	WXS
aml_ohsu_2022_2454_BA2387	WXS
aml_ohsu_2022_2104_BA2313	WXS
aml_ohsu_2022_2104_BA2517	WXS
aml_ohsu_2022_2104_BA2657	WXS
aml_ohsu_2022_2558_BA2962	WXS
aml_ohsu_2022_2013_BA2195	WXS
aml_ohsu_2022_2289_BA2688	WXS
aml_ohsu_2022_2106_BA2420	WXS
aml_ohsu_2022_2510_BA2727	WXS
aml_ohsu_2022_2169_BA2756	WXS
aml_ohsu_2022_2169_BA2086	WXS
aml_ohsu_2022_2026_BA2122	WXS
aml_ohsu_2022_2370_BA2053	WXS
aml_ohsu_2022_2135_BA2080	WXS
aml_ohsu_2022_2200_BA2415	WXS
aml_ohsu_2022_2358_BA2081	WXS
aml_ohsu_2022_2050_BA2354	WXS
aml_ohsu_2022_2729_BA3273	WXS
aml_ohsu_2022_2455_BA2893	WXS
aml_ohsu_2022_2389_BA2266	WXS
aml_ohsu_2022_2267_BA2044	WXS
aml_ohsu_2022_2335_BA2309	WXS
aml_ohsu_2022_2480_BA2489	WXS
aml_ohsu_2022_2516_BA2908	WXS
aml_ohsu_2022_2058_BA2054	WXS
aml_ohsu_2022_2415_BA2872	WXS
aml_ohsu_2022_2308_BA2197	WXS
aml_ohsu_2022_2523_BA2232	WXS
aml_ohsu_2022_2523_BA3145	WXS
aml_ohsu_2022_2121_BA2041	WXS
aml_ohsu_2022_2575_BA2464	WXS
aml_ohsu_2022_2144_BA2902	WXS
aml_ohsu_2022_2124_BA2491	WXS
aml_ohsu_2022_2484_BA2541	WXS
aml_ohsu_2022_2127_BA2143	WXS
aml_ohsu_2022_2051_BA2380	WXS
aml_ohsu_2022_2813_BA3301	WXS
aml_ohsu_2022_2482_BA2769	WXS
aml_ohsu_2022_2178_BA2843	WXS
aml_ohsu_2022_2435_BA2974	WXS
aml_ohsu_2022_2517_BA2497	WXS
aml_ohsu_2022_2119_BA2718	WXS
aml_ohsu_2022_2043_BA2575	WXS
aml_ohsu_2022_2404_BA3008	WXS
aml_ohsu_2022_2582_BA3049	WXS
aml_ohsu_2022_2477_BA2008	WXS
aml_ohsu_2022_2573_BA2791	WXS
aml_ohsu_2022_2150_BA2620	WXS
aml_ohsu_2022_2486_BA2629	WXS
aml_ohsu_2022_2180_BA3020	WXS
aml_ohsu_2022_2180_BA2965	WXS
aml_ohsu_2022_2364_BA2870	WXS
aml_ohsu_2022_2151_BA2423	WXS
aml_ohsu_2022_2103_BA2682	WXS
aml_ohsu_2022_2294_BA2276	WXS
aml_ohsu_2022_2032_BA2348	WXS
aml_ohsu_2022_2346_BA2709	WXS
aml_ohsu_2022_2141_BA2789	WXS
aml_ohsu_2022_2552_BA2650	WXS
aml_ohsu_2022_2552_BA2694	WXS
aml_ohsu_2022_2244_BA2722	WXS
